accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.798,0.798,0.798,0.798,0.8304951119520656,0.7979999999999999,0.787571493015,9,1,test
0.9210416666666666,0.9210416666666666,0.9210416666666666,0.9210416666666666,0.9276092137076816,0.9210416666666668,0.9210443948387236,9,2,train
0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.9024125201045466,0.8933333333333333,0.8930150095974521,9,2,val
0.89,0.89,0.89,0.89,0.901146091667869,0.89,0.8900120937987432,9,2,test
0.8433333333333334,0.8433333333333334,0.8433333333333334,0.8433333333333334,0.8682271880410133,0.8433333333333334,0.8411873983310117,9,3,train
0.83,0.83,0.83,0.83,0.8554857849923302,0.8300000000000001,0.8275350207259464,9,3,val
0.8206666666666667,0.8206666666666667,0.8206666666666667,0.8206666666666667,0.8514137589788557,0.8206666666666667,0.8189228381332937,9,3,test
0.8004166666666667,0.8004166666666667,0.8004166666666667,0.8004166666666667,0.8892489690839801,0.8004166666666667,0.8000812496801342,9,4,train
0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.8634618880241842,0.7708333333333334,0.7686202336205726,9,4,val
0.7693333333333333,0.7693333333333333,0.7693333333333333,0.7693333333333333,0.869549423864985,0.7693333333333334,0.7636529650737686,9,4,test
0.8154166666666667,0.8154166666666667,0.8154166666666667,0.8154166666666667,0.862749396658231,0.8154166666666667,0.8063920983333303,9,5,train
0.8025,0.8025,0.8025,0.8025,0.850131901172688,0.8025,0.7935068031915863,9,5,val
0.8046666666666666,0.8046666666666666,0.8046666666666666,0.8046666666666666,0.8589199680467272,0.8046666666666666,0.795375712071984,9,5,test
0.8966666666666666,0.8966666666666666,0.8966666666666666,0.8966666666666666,0.9035244118865016,0.8966666666666665,0.892950711266305,10,1,train
0.8641666666666666,0.8641666666666666,0.8641666666666666,0.8641666666666666,0.872332457757067,0.8641666666666667,0.8571245501196249,10,1,val
0.876,0.876,0.876,0.876,0.8836246633794074,0.8760000000000001,0.8703965668580078,10,1,test
0.9435416666666666,0.9435416666666666,0.9435416666666666,0.9435416666666666,0.9464911905069724,0.9435416666666668,0.9441919549261388,10,2,train
0.9175,0.9175,0.9175,0.9175,0.9225302631673084,0.9175,0.9187094049293452,10,2,val
0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9152097462946166,0.9086666666666666,0.9104175930064824,10,2,test
0.8864583333333333,0.8864583333333333,0.8864583333333333,0.8864583333333333,0.9063635746598958,0.8864583333333332,0.8855765692444096,10,3,train
0.8508333333333333,0.8508333333333333,0.8508333333333333,0.8508333333333333,0.876369922904383,0.8508333333333333,0.8493898361606377,10,3,val
0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8740294996412057,0.8466666666666667,0.8448046818449173,10,3,test
0.9508333333333332,0.9508333333333332,0.9508333333333332,0.9508333333333332,0.9513995383047512,0.9508333333333332,0.9508502398438696,10,4,train
0.9283333333333332,0.9283333333333332,0.9283333333333332,0.9283333333333332,0.9300356756092985,0.9283333333333336,0.9283329490272668,10,4,val
0.928,0.928,0.928,0.928,0.9292843443134776,0.928,0.9280294715750426,10,4,test
0.9364583333333332,0.9364583333333332,0.9364583333333332,0.9364583333333332,0.9377002296793174,0.9364583333333334,0.936059440898813,10,5,train
0.9158333333333334,0.9158333333333334,0.9158333333333334,0.9158333333333334,0.9178719810824282,0.9158333333333332,0.9154000125252808,10,5,val
0.9186666666666666,0.9186666666666666,0.9186666666666666,0.9186666666666666,0.9218431351637588,0.9186666666666669,0.9178626839093758,10,5,test
0.9272916666666666,0.9272916666666666,0.9272916666666666,0.9272916666666666,0.9323027806858276,0.9272916666666668,0.9273030759378432,11,1,train
0.91,0.91,0.91,0.91,0.9180459758397296,0.91,0.9103993201939596,11,1,val
0.906,0.906,0.906,0.906,0.9139932090146564,0.906,0.9067180668165128,11,1,test
0.895625,0.895625,0.895625,0.895625,0.9070073865046296,0.8956249999999999,0.8964308713413219,11,2,train
0.855,0.855,0.855,0.855,0.8748660585020985,0.8550000000000001,0.8560940255954451,11,2,val
0.8713333333333333,0.8713333333333333,0.8713333333333333,0.8713333333333333,0.884872219192733,0.8713333333333333,0.8724449569120315,11,2,test
0.7341666666666666,0.7341666666666666,0.7341666666666666,0.7341666666666666,0.8489170611792138,0.7341666666666666,0.7499304033304321,11,3,train
0.7075,0.7075,0.7075,0.7075,0.8211358166051479,0.7075,0.7212318313509639,11,3,val
0.706,0.706,0.706,0.706,0.8235704405112452,0.7060000000000001,0.7197880516809172,11,3,test
0.9283333333333332,0.9283333333333332,0.9283333333333332,0.9283333333333332,0.9296888607248704,0.9283333333333336,0.928242239371736,11,4,train
0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8841679782280805,0.8833333333333334,0.8823916351465197,11,4,val
0.898,0.898,0.898,0.898,0.900848357193972,0.898,0.897621997153626,11,4,test
0.8572916666666667,0.8572916666666667,0.8572916666666667,0.8572916666666667,0.8831977941932809,0.8572916666666666,0.8539226839838732,11,5,train
0.83,0.83,0.83,0.83,0.8693511043347085,0.8300000000000001,0.8231959109543849,11,5,val
0.8313333333333334,0.8313333333333334,0.8313333333333334,0.8313333333333334,0.8594577906285725,0.8313333333333335,0.8277322577339573,11,5,test
0.6433333333333333,0.6433333333333333,0.6433333333333333,0.6433333333333333,0.7930810431560984,0.6433333333333333,0.6538032431253122,12,1,train
0.6341666666666667,0.6341666666666667,0.6341666666666667,0.6341666666666667,0.7830768356814094,0.6341666666666668,0.6402660917930172,12,1,val
0.636,0.636,0.636,0.636,0.792046027417229,0.636,0.6465436592551277,12,1,test
0.93125,0.93125,0.93125,0.93125,0.939859268201366,0.93125,0.9314344268000478,12,2,train
0.9033333333333332,0.9033333333333332,0.9033333333333332,0.9033333333333332,0.91925555416579,0.9033333333333332,0.9037923277718716,12,2,val
0.8953333333333333,0.8953333333333333,0.8953333333333333,0.8953333333333333,0.9114658610768216,0.8953333333333333,0.8947259024369675,12,2,test
0.9116666666666666,0.9116666666666666,0.9116666666666666,0.9116666666666666,0.9154693042525036,0.9116666666666668,0.9110179272619204,12,3,train
0.8883333333333333,0.8883333333333333,0.8883333333333333,0.8883333333333333,0.8941023221777662,0.8883333333333333,0.887201814641646,12,3,val
0.874,0.874,0.874,0.874,0.8797566224907791,0.8739999999999999,0.873568544408293,12,3,test
0.88875,0.88875,0.88875,0.88875,0.9038275143367652,0.8887499999999999,0.8884396874794511,12,4,train
0.8783333333333333,0.8783333333333333,0.8783333333333333,0.8783333333333333,0.8939506485601336,0.8783333333333333,0.8776529984611237,12,4,val
0.87,0.87,0.87,0.87,0.8861809887693974,0.8699999999999999,0.869210695894887,12,4,test
0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9586245899506092,0.9583333333333334,0.9582215806877858,12,5,train
0.9383333333333334,0.9383333333333334,0.9383333333333334,0.9383333333333334,0.9390448418187262,0.9383333333333332,0.9383865458375844,12,5,val
0.9353333333333332,0.9353333333333332,0.9353333333333332,0.9353333333333332,0.935910337178926,0.9353333333333332,0.9351732966334664,12,5,test
0.708125,0.708125,0.708125,0.708125,0.818798811648558,0.7081250000000001,0.6773606867047777,13,1,train
0.6866666666666666,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.8077469136605806,0.6866666666666666,0.6558753225578486,13,1,val
0.6753333333333333,0.6753333333333333,0.6753333333333333,0.6753333333333333,0.798003749204028,0.6753333333333333,0.6415735405864164,13,1,test
0.9254166666666668,0.9254166666666668,0.9254166666666668,0.9254166666666668,0.9285510460071597,0.9254166666666668,0.9246158096835598,13,2,train
0.9058333333333334,0.9058333333333334,0.9058333333333334,0.9058333333333334,0.9097480026264076,0.9058333333333334,0.9052243524060162,13,2,val
0.8966666666666666,0.8966666666666666,0.8966666666666666,0.8966666666666666,0.900815468683778,0.8966666666666667,0.8959659209748455,13,2,test
0.9079166666666668,0.9079166666666668,0.9079166666666668,0.9079166666666668,0.912187137357013,0.9079166666666666,0.9073162208478038,13,3,train
0.8841666666666667,0.8841666666666667,0.8841666666666667,0.8841666666666667,0.887565824338394,0.8841666666666667,0.8839405611341757,13,3,val
0.876,0.876,0.876,0.876,0.8860409238517295,0.876,0.8761170166936058,13,3,test
0.7845833333333333,0.7845833333333333,0.7845833333333333,0.7845833333333333,0.8482715294558234,0.7845833333333333,0.7841031171056217,13,4,train
0.7758333333333334,0.7758333333333334,0.7758333333333334,0.7758333333333334,0.8367240065004443,0.7758333333333334,0.7737172144861546,13,4,val
0.77,0.77,0.77,0.77,0.8405482551957772,0.7699999999999999,0.7680992663887337,13,4,test
0.9077083333333332,0.9077083333333332,0.9077083333333332,0.9077083333333332,0.9223982465217108,0.9077083333333332,0.9045162686396656,13,5,train
0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8924151245190288,0.8708333333333332,0.8654974373324513,13,5,val
